rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
63,Serbia,Europe,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,,0,0,0,0,0,0,7,5,2287461000,35200000000,1.62213E+11,27569000000,43,3333000,0,0,3333,44248,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587
64,Syria,Asia,23865423,15273871,13245310,668232,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,,0,0,0,0,0,0,16,4,291850000,4309500000,55935900000,341962500,39,6315000,3,24,2052,69873,75000,138000,2500000000,3085000000,3084000000,2.40693E+11,0,47000,0,187437,193,2363,900
65,Ecuador,South America,18309984,8422593,6738074,329580,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,,0,0,2,0,2,6,5,0,2376000000,44898000000,2.60213E+11,4442000000,310,8893000,6,154,965,43950,480000,225000,8273000000,309778000,309778000,10902000000,0,21000,24000000,283560,2237,2237,1500
66,Democratic Republic of the Congo,Africa,115403027,39237029,31389623,2538867,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,,0,0,0,0,0,0,16,0,796560000,4994000000,1.54012E+11,3898125000,272,35983000,3,24,4007,152373,19000,26000,180000000,380000,380000,991090000,0,23000,987999000,2344858,37,10481,15000
67,Cuba,North America,10966038,5921661,4737328,142558,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,,0,0,0,0,1,1,6,4,4508784000,33066000000,1.414E+11,10442000000,123,5317000,34,65,8367,60000,34000,165000,124000000,659434000,659434000,70792000000,0,2000,0,110860,3735,29,240
68,Austria,Europe,8967982,4035592,3632033,98648,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,,0,0,0,0,0,0,0,0,5475750000,6.3E+11,5.90354E+11,31212000000,61,4825000,0,1,6123,137039,18000,245000,35200000,618209000,8136000000,5040000000,1271000,5026000,0,83871,0,2524,358
69,Sri Lanka,Asia,21982608,10551652,8551235,307757,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000,46409500000,2.87132E+11,3450700000,18,8707000,6,96,1562,114093,0,121000,0,0,0,0,0,2084000,0,65610,1340,0,160
70,Belarus,Europe,9501451,5035769,3724569,104516,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,,0,0,0,0,0,0,0,0,1077900000,44000000000,2.54407E+11,8118000000,46,4956000,0,4,5528,86600,30000,131000,198000000,73929000,16683000000,2832000000,0,778000,0,207600,0,3599,2500
71,Slovakia,Europe,5563649,2837461,2353424,61200,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,,0,0,0,0,0,0,0,0,2656000000,1.276E+11,2.13053E+11,11288000000,114,2823000,0,0,3627,56926,7000,94000,9000000,52556000,60424000,14158000000,2343000,5794000,19000000,49035,0,1587,172
72,Qatar,Asia,2552088,638022,490001,12760,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,,0,0,0,0,0,4,105,0,9432000000,1.87E+11,3.04973E+11,51539000000,8,2035000,6,123,0,7039,1815000,297000,25244000,1.69595E+11,41515000000,2.3861E+13,0,0,0,11586,563,87,0
73,Sudan,Africa,50467278,26747657,17108407,1312149,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,,0,0,0,0,0,0,6,0,342000000,37846000000,1.36039E+11,206763700,41,13590000,4,14,7251,31000,68000,127000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068
74,Croatia,Europe,4150116,2033557,1564594,53952,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,,0,0,0,0,0,0,10,1,1176000000,55000000000,1.59305E+11,3176000000,40,1744000,16,384,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,702000,0,56594,5835,2237,4714
75,Jordan,Asia,11174024,3463947,2983464,145262,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,,0,0,0,0,0,0,27,0,2500000000,25646500000,1.06806E+11,15715600000,17,3063000,1,34,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,479000,0,89342,26,1744,0
76,Libya,Africa,7361263,3827857,3290485,125141,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,,0,0,0,0,0,1,1,1,3060000000,3322000000,1.21951E+11,92427000000,66,2398000,14,96,2000,37000,1245000,230000,48363000000,11832000000,9212000000,1.505E+12,0,0,0,1759540,1770,4339,0
77,Turkmenistan,Asia,5744151,2768681,2245963,109139,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,,0,0,0,0,0,0,16,0,1078020000,2134500000,94790000000,23415400000,23,2163000,0,73,5113,58592,272000,152000,600000000,86472000000,41561000000,1.1327E+13,0,0,800000000,488100,1768,4158,1300
78,Albania,Europe,3107100,1522479,1292554,62142,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,,0,0,0,0,0,0,19,0,558862420,7312000000,49592000000,6455000000,3,1388000,3,67,424,3945,1400,2600,150000000,50623000,50623000,5692000000,379000,389000,522000000,28748,362,691,41
79,Kuwait,Asia,3138355,1726095,1449920,37660,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,,0,0,0,0,0,0,106,0,6950000000,55000000000,2.1906E+11,52619000000,6,2463000,6,176,0,5749,2910000,372000,1.015E+11,19285000000,26083000000,1.784E+12,0,145000,0,17818,499,475,0
80,Bolivia,South America,12311974,5417269,4112199,233928,40000,40000,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,,0,0,0,0,0,0,50,0,550200000,11431000000,1.19785E+11,1800000000,200,6114000,0,50,3690,90568,58000,87000,240900000,13760000000,3055000000,3.0299E+11,0,9000,1000000,1098581,0,7252,10000
81,Bahrain,Asia,1566888,846120,720768,17236,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,,0,0,0,0,2,2,50,0,1597200000,49500000000,85491000000,5118000000,3,855000,4,184,0,4122,189000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,161,0,0
82,Oman,Asia,3901992,1482757,1291559,50726,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,,0,0,0,0,0,5,12,0,8200000000,50897000000,1.8596E+11,17455000000,36,2316000,7,57,0,60230,1056000,211000,5375000000,40754000000,27364000000,6.51287E+11,0,31000,0,309500,2092,1561,0
83,Kenya,Africa,58246378,21551160,14037377,931942,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,,0,0,0,0,0,0,7,0,1307383850,30514500000,3.14063E+11,7342000000,370,25502000,4,26,3819,161452,0,119000,0,0,0,0,0,1168000,0,580367,536,3457,0
84,Chad,Africa,19093595,6873694,3856906,381872,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,,0,0,0,0,0,0,0,0,381350000,2038000000,32446000000,211591000,42,5806000,0,0,0,40000,124000,15000,1500000000,0,0,0,0,0,0,1284000,0,6406,12400
85,Yemen,Asia,32140443,12213368,9031464,610668,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,,0,0,0,0,0,1,12,1,810375000,6343500000,67003300000,923361750,36,6883000,10,30,0,71300,15000,60000,3000000000,189432000,189432000,4.78555E+11,0,165000,0,527968,1906,1601,0
86,New Zealand,Oceania,5161211,2219321,1775457,61935,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,,0,0,0,0,2,0,4,0,3030000000,2.09683E+11,2.5477E+11,15487000000,202,3068000,22,117,4128,94000,12000,154000,40993000,3770000000,3819000000,31149000000,3036000,2441000,7575000000,268838,15134,0,0
87,Paraguay,South America,7522549,3535598,3001497,150451,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,,0,0,0,0,0,0,63,0,17595000000,14370000000,1.08022E+11,9886000000,83,3469000,1,108,30,78811,2000,57000,0,0,0,0,0,1000,0,406752,0,4655,3100
88,Lithuania,Europe,2628186,1708321,1332490,36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,,0,0,0,0,0,0,7,4,2388900000,44000000000,1.32712E+11,6168000000,65,1510000,2,59,1911,84166,4000,68000,12000000,0,1601000000,0,0,263000,0,65300,90,1545,441
89,Mozambique,Africa,33350954,14674420,7770772,533615,11200,0,3000,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,,0,0,0,0,0,0,33,0,412400000,12100000000,50631000000,3515000000,92,15191000,11,36,4787,31083,0,40000,0,5388000000,1347000000,2.832E+12,9015000,11000,1792000000,799380,2470,4783,460
90,Tunisia,Africa,12048847,6024424,5181004,204830,89800,0,12000,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,,0,0,0,0,0,0,51,0,1400000000,27084500000,1.53637E+11,9240000000,14,4445000,16,72,2173,20000,35000,108000,425000000,1323000000,5153000000,65129000000,0,2000,0,163610,1148,1495,0
91,Armenia,Asia,2976765,1666988,1366335,44651,57500,210000,5000,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,,0,0,0,0,0,0,0,0,1700000000,9014000000,57728000000,3607000000,11,1356000,0,0,686,7700,0,14000,0,0,2861000000,0,60,23000,317000000,29743,0,1570,0
92,Tanzania,Africa,67462121,12143182,6678750,607159,27000,80000,6500,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,,0,0,0,0,0,0,10,0,1406745334,18983500000,2.3405E+11,5693050000,206,31219000,8,381,4097,145203,0,58000,0,1808000000,1808000000,6513000000,2511000,802000,1410000000,947300,1424,4161,0
93,Cameroon,Africa,30966105,10528476,6224187,495458,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,,0,0,0,0,0,0,51,0,554952283,9506000000,1.38925E+11,5754093000,37,11965000,7,198,987,77589,54000,40000,200000000,2595000000,877058000,1.35071E+11,0,0,0,475440,400,5018,0
94,Georgia,Asia,4900961,2744538,2225036,93118,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,,0,0,0,0,0,0,31,4,495629055,13488000000,83656000000,5002000000,19,1853000,3,26,1363,20295,300,32000,35000000,8760000,2796000000,8495000000,256000,516000,900999000,69700,310,1814,0
95,Cambodia,Asia,17063669,8190561,5733393,307146,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,,0,0,0,0,0,0,20,0,860000000,13200000000,85900000000,17801000000,13,9175000,2,195,642,47263,0,73000,0,0,0,0,113000,2215000,0,181035,443,2530,3700
96,Slovenia,Europe,2097893,1006989,826570,22867,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,,0,0,0,0,0,0,2,0,886860000,55000000000,1.02036E+11,2370000000,42,1055000,2,8,1207,38985,0,45000,0,3863000,840902000,0,2358000,2553000,95000000,20273,47,1211,710
97,Ireland,Europe,5233461,2407392,1999182,57568,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,,0,0,0,0,0,0,8,0,1500000000,3.3E+12,6.08463E+11,12905000000,100,2766000,21,94,1688,99830,600,156000,0,1447000000,5280000000,9911000000,0,1322000,40000000,70273,1448,443,956
98,Mongolia,Asia,3281676,1870555,1552233,62352,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,,0,0,0,0,0,0,0,0,165110000,19542500000,56264000000,4782000000,35,1403000,0,318,1815,113200,15000,36000,0,0,0,0,28276000,6393000,2520000000,1564116,0,8082,580
99,Latvia,Europe,1801246,810561,648449,16211,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,,0,0,0,0,0,0,11,6,1138000000,44180400000,71154000000,4957000000,56,978000,5,83,2216,70244,2000,35000,0,0,828214000,0,0,20000,0,64589,498,1370,300
100,Uruguay,South America,3425330,1575652,1322177,54805,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,,0,0,0,0,0,0,2,2,772400000,49500000000,1.05096E+11,16257000000,64,1775000,8,58,1673,77732,400,52000,0,0,86037000,0,0,18000,0,176215,660,1591,1600
101,Honduras,North America,9529188,4192843,3144632,95292,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,,0,0,0,0,0,0,93,0,413635000,8805500000,68854000000,7543000000,129,4676000,8,489,699,14742,20,67000,0,0,0,0,0,190000,0,112090,832,1575,465
102,Ivory Coast,Africa,29981758,12292521,7855221,569653,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,,0,0,0,0,0,0,3,0,669600935,19311500000,2.02758E+11,7583484000,29,10954000,5,25,660,81996,29000,60000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,515,3458,980
103,Guatemala,North America,18255216,7484639,6279794,182552,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,,0,0,0,0,0,0,20,0,408635000,27500000000,2.23183E+11,21311000000,58,7258000,3,9,800,17440,6000,115000,86110000,3276000,2986000,0,0,1296000,0,108889,400,1667,990
104,Mali,Africa,21990607,6817088,4288168,351850,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,,0,0,0,0,0,0,0,0,650386000,4057500000,57235000000,647800000,30,8277000,0,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,0,7908,1800
105,Kyrgyzstan,Asia,6172101,3147772,2487357,117270,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,,0,0,0,0,0,0,0,0,221800000,6728500000,45461000000,3237000000,28,3069000,0,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3637000,3352000,28499000000,199951,0,4573,576
106,Laos,Asia,7953556,3499565,2521277,159071,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,,0,0,0,0,0,0,36,0,135000000,16500000000,64173000000,1770000000,18,3174000,0,1,422,39568,0,24000,0,0,0,0,14845000,13691000,62000000,236800,0,5274,4600
107,Estonia,Europe,1193791,584958,456028,13132,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,,0,0,0,0,0,0,4,4,1463360000,26400000000,57377000000,2593000000,26,752000,20,72,1441,58412,24000,28000,0,0,354912000,0,0,3000,0,45228,3794,657,335
108,Tajikistan,Asia,10394063,4781269,3773045,176699,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,,0,0,0,0,0,0,0,0,446000000,7150000000,46467000000,2748900000,19,2677000,0,0,680,30000,300,28000,12000000,18476000,85567000,5663000000,2175000,2245000,4075000000,144100,0,4130,200
109,Zambia,Africa,20799116,7279691,4139024,374384,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,,0,0,0,0,0,0,0,0,394240000,13200000000,76493000000,2861000000,119,7051000,0,2,3126,67671,0,34000,0,0,0,0,831000,823000,944999000,752618,0,6043,0
110,Ghana,Africa,34589092,14873310,9961658,622604,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,,0,0,0,0,0,0,27,0,308500000,22550000000,2.29639E+11,3624000000,11,14887000,4,52,947,65725,174000,110000,660000000,3192000000,3912000000,22653000000,0,85000,0,238533,539,2420,1293
111,Zimbabwe,Africa,17150352,6517134,3721626,360157,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,,0,0,0,0,0,0,0,0,530800000,11000000000,58583000000,115530000,144,6561000,0,0,3427,97267,800,29000,0,0,0,0,3877000,4479000,502000000,390757,0,3229,0
112,North Macedonia,Europe,2135622,948216,783773,27763,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,,0,0,0,0,0,0,0,0,388421700,11000000000,42444000000,5015000000,13,801000,0,0,699,14182,0,22000,0,0,274928000,0,5075000,5776000,332000000,25713,0,838,0
113,South Sudan,Africa,12703714,6351857,4065188,330297,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,,0,0,0,0,0,0,0,0,175300000,2475000000,20010000000,183615000,82,4471000,0,0,248,90200,146000,14000,3750000000,0,0,0,0,0,0,644329,0,6018,0
114,Uganda,Africa,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,0,12,0,0,30,6,259,3862,6,26,12,0,,0,0,0,0,0,0,0,0,985400000,11818000000,1.35668E+11,3506500000,39,18881000,0,0,1244,20544,0,43000,2500000000,0,0,14158000000,0,0,800000000,241038,0,2729,0
115,Lebanon,Asia,5364482,2092148,1775644,69738,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,,0,0,0,0,0,0,61,0,768250325,36928000000,65818000000,26498095000,8,1771000,5,51,401,21705,0,174000,0,0,0,0,0,207000,0,10400,225,484,0
116,Namibia,Africa,2803660,616805,400923,30840,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,,0,0,0,0,0,2,12,0,370500000,8800000000,29944000000,2956000000,255,989000,2,15,2628,48875,0,25000,0,0,0,62297000000,0,32000,350000000,824292,1572,4220,0
117,Luxembourg,Europe,671254,154388,92633,3356,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,,0,0,0,0,0,0,0,0,726092925,4.73E+12,88533000000,2977000000,3,352000,0,147,271,2875,0,51000,0,0,594240000,0,0,62000,0,2586,0,327,37
118,Afghanistan,Asia,40121552,15647405,8826741,842553,0,0,80000,9,0,0,3,0,0,0,6,1,0,5202,0,0,0,0,,0,0,0,0,0,0,0,0,290000000,1142500000,54772700000,8852092000,67,8921000,0,0,0,34903,0,2700,0,80200000,80200000,49554000000,4885000,1545000,66000000,652230,0,5987,1200
119,Niger,Africa,26342784,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,,0,0,0,0,0,0,0,0,336400000,3844000000,44561000000,1442772000,26,10237000,0,0,0,18949,6000,13000,150000000,29509000,29858000,0,457000,457000,90000000,1267000,0,5834,300
120,Eritrea,Africa,6343956,2220385,1598677,76127,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,,0,0,0,0,0,0,18,0,198000000,635504500,9702000000,225014976,10,1800000,2,9,306,16000,0,4000,0,0,0,0,0,0,0,117600,2234,1840,0
121,Republic of the Congo,Africa,6097665,2256136,1353682,115856,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,,0,0,0,0,0,0,0,0,306400000,5741000000,38163000000,715391000,56,2461000,5,11,510,23324,267000,12000,2885000000,423000000,423000000,2.8399E+11,0,0,0,342000,169,5008,1120
122,Botswana,Africa,2450668,1029281,617568,24507,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,,0,0,0,0,0,0,0,0,465600000,1853500000,46742000000,4756000000,122,1170000,0,0,888,31747,0,21000,0,0,0,0,2634000,2291000,1660000000,581730,0,4347,0
123,Mauritania,Africa,4328040,1687936,1181555,82233,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,,0,0,0,0,0,0,6,0,261250000,3661000000,30395000000,2629290500,25,1179000,2,11,728,12253,0,29000,20000000,0,0,28317000000,0,0,0,1030700,754,5002,1086
124,Dominican Republic,North America,10815857,4975294,4034315,97343,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,,0,0,0,0,0,0,14,0,810800000,27500000000,2.61616E+11,15547000000,32,5302000,17,40,496,19705,0,134000,0,0,2440000000,0,0,2188000,0,48320,1288,376,0
125,Senegal,Africa,18847519,7162057,4089912,395798,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,,0,0,0,0,0,0,4,0,465150000,11326000000,77382000000,889295000,19,5257000,6,36,906,16665,9000,55000,0,54646000,54498000,0,0,502000,0,196722,531,2684,1000
126,Nepal,Asia,31122387,15249970,11733140,778060,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,0,409100000,5838500000,1.4431E+11,12456000000,51,8937000,0,0,59,27990,0,62000,0,0,0,0,15000,1095000,8000000,147181,0,3159,0
127,Montenegro,Europe,599849,143964,85179,3599,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,,0,0,0,0,0,0,2,0,148100000,2958500000,17115000000,1574000000,5,286000,4,18,250,7762,0,8000,0,0,0,0,1734000,1517000,337000000,13812,294,680,0
128,El Salvador,North America,6628702,3181777,2512278,145831,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,,0,0,0,0,0,0,10,0,334620000,14258000000,71957000000,3799434000,27,2870000,3,5,13,9012,3,58000,0,0,226472,0,0,500,0,21041,307,590,422
129,Burkina Faso,Africa,23042199,8525614,6060098,368675,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,,0,0,0,0,0,0,0,0,81280000,3145000000,57152000000,47138000,49,8577000,0,0,622,15304,0,36000,0,0,0,0,0,0,0,274200,0,3611,0
130,Madagascar,Africa,29452714,11192031,7952233,559602,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,,0,0,0,0,0,0,4,0,112210000,3028500000,51255000000,2632000000,91,15830000,13,29,836,31640,0,19000,0,0,0,0,0,511000,150000000,587040,4828,0,600
131,Nicaragua,North America,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,,0,0,0,0,0,0,23,0,92000000,9053000000,51088000000,5447000000,39,3264000,5,5,0,23897,200,36000,0,0,0,0,0,0,0,130370,910,1253,2220
132,Bosnia and Herzegovina,Europe,3798671,2355176,1956316,49383,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,,0,0,0,0,0,0,0,0,216400000,7760500000,63769000000,9205000000,13,1369000,1,0,965,22926,0,36000,0,0,225824000,0,14114000,14766000,2264000000,51197,20,1543,990
133,Gabon,Africa,2455105,932940,532758,46647,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,,0,0,0,0,0,0,4,0,274820000,6280000000,48201000000,1568196000,40,763000,9,87,649,14300,204000,16000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600
134,Moldova,Europe,3599528,2159717,1792565,71991,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,,0,0,0,0,0,0,0,0,1710000000,4565500000,38969000000,5453000000,11,1464000,0,75,1171,9352,0,22000,0,10000,2344000000,0,0,120000,0,33851,0,1885,558
135,Iceland,Europe,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,,0,0,0,0,0,0,0,0,312400000,22000000000,26155000000,5809000000,83,239000,43,39,0,12898,0,18000,0,0,0,0,0,188000,0,100250,4970,0,0
136,Panama,North America,4470241,2011608,1206965,53643,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,,0,0,0,0,0,0,27,0,917202000,1.11553E+12,1.59867E+11,6757000000,76,2096000,12,8174,77,11978,0,146000,0,0,389611000,0,0,837000,0,75420,2490,687,800
137,Beliz,North America,415789,158000,90226,8732,1650,850,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,,0,0,0,0,0,0,8,0,29538000,1248000000,5257000000,473729000,27,190000,2,774,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825
138,Liberia,Africa,5437249,2392390,1913912,65247,1500,0,5500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,,0,0,0,0,0,0,4,0,364800000,830923000,8884000000,599660000,99,2499000,4,4821,429,10600,0,4000,0,0,0,0,0,0,0,111369,579,1667,0
139,Suriname,South America,646758,142287,84079,3234,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,,0,0,0,0,0,0,17,0,144000000,2200000000,11824000000,1346000000,55,250000,4,13,0,4304,14000,15000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200
140,Sierra Leone,Africa,9121049,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,,0,0,0,0,0,0,7,0,228600000,2687000000,14633000000,495699000,8,2913000,3,584,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800
141,Kosovo,Europe,1977093,917371,743387,17794,10000,5000,500,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,,0,0,0,0,0,0,0,0,260715150,2750000000,23794000000,1245000000,4,500300,0,0,437,2012,0,15000,0,0,0,0,9074000,8927000,1564000000,10887,0,714,0
142,Somalia,Africa,13017273,2993973,1796384,130173,15000,0,2000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,,0,0,0,0,0,0,10,0,171002350,5830000000,26351000000,16747500,38,3277000,6,4,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0
143,Central African Republic,Africa,5650957,2203873,1254512,101717,10000,0,1000,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,,0,0,0,0,0,0,0,0,45990000,666293000,5849000000,374405000,43,2114000,0,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800
144,Benin,Africa,14697052,5584880,3189260,308638,4750,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,,0,0,0,0,0,0,2,0,98350000,4066500000,52510000000,698900000,10,4964000,1,6,438,16000,0,46000,8000000,0,182131000,1133000000,0,45000,0,112622,121,2123,150
145,Bhutan,Asia,884546,203446,122067,4423,7500,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,,0,0,0,0,0,0,0,0,14000000,2757000000,10981000000,976260000,4,430000,0,0,0,12205,0,3000,0,0,0,0,177000,325000,0,38394,0,1136,0
